"Name deutsch","Name englisch","URL der Einrichtung","Einrichtungsart","DFG Instituts ID","GRID ID","span"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für Epidemiologie"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für Immunologie"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für Infektionsmedizin (IMED)"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für Neue und Neuartige Tierseuchenerreger (INNT)"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für Nutztiergenetik"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für Tierernährung (ITE)"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für Tierschutz und Tierhaltung (ITT)"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für Virusdiagnostik (IVD)"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für bakterielle Infektionen und Zoonosen"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für molekulare Pathogenese (IMP)"
"Friedrich-Loeffler-Institut  - Bundesforschungsinstitut für Tiergesundheit (FLI)","Friedrich-Loeffler-Institut - Federal Research Institute for Animal Health (FLI)","www.fli.de","Bundesforschung",12986,"grid.417834.d","Institut für molekulare Virologie und Zellbiologie (IMVZ)"
"Friedrich-Miescher-Laboratorium für biologische Arbeitsgruppen in der Max-Planck-Gesellschaft","Friedrich Miescher Laboratory of the Max Planck Society","www.fml.tuebingen.mpg.de/","MPG",10090,"grid.418026.9",
"Friedrich-Nietzsche-Stiftung","Friedrich Nietzsche Foundation","www.friedrich-nietzsche-stiftung.de/","Sonst. Forschg",299305173,,
"Friedrich-Nietzsche-Stiftung","Friedrich Nietzsche Foundation","www.friedrich-nietzsche-stiftung.de/","Sonst. Forschg",299305173,,"Nietzsche-Dokumentationszentrum"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Chemisch-Geowissenschaftliche Fakultät"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Deutsches Zentrum für integrative Biodiversitätsforschung (iDiv)"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Fakultät für Biowissenschaften"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Fakultät für Mathematik und Informatik"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Fakultät für Sozial- und Verhaltenswissenschaften"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Forschungszentrum Laboratorium Aufklärung"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Graduierten-Akademie"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Jena Center for Soft Matter (JCSM)"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Philosophische Fakultät"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Physikalisch-Astronomische Fakultät"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Rechtswissenschaftliche Fakultät"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Sprachenzentrum"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Theologische Fakultät"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Thüringer Universitäts- und Landesbibliothek Jena"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Universitätsarchiv"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Universitätsklinikum Jena"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Wirtschaftswissenschaftliche Fakultät"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Zentrum für Gesundheits- und Sicherheitsmanagement"
"Friedrich-Schiller-Universität Jena","Friedrich Schiller University Jena","www.uni-jena.de","Universität",10363,"grid.9613.d","Zentrum für Lehrerbildung und Bildungsforschung"
"Friedrich-Wilhelm-Bessel-Institut Forschungsgesellschaft","Friedrich-Wilhelm-Bessel-Institut research centre","www.fwbi-bremen.de/index.php","Sonst. Forschg",269319305,,
"Fritz Bauer Institut","Fritz Bauer Institute","www.fritz-bauer-institut.de","Landesforschung",29488,,
"Fritz Bauer Institut","Fritz Bauer Institute","www.fritz-bauer-institut.de","Landesforschung",29488,,"Lehrstuhl zur Erforschung der Geschichte und Wirkung des Holocaust"
"Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI)","Fritz Haber Institute of the Max Planck Society (FHI)","www.fhi-berlin.mpg.de","MPG",10172,"grid.418028.7","Abteilung Anorganische Chemie"
"Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI)","Fritz Haber Institute of the Max Planck Society (FHI)","www.fhi-berlin.mpg.de","MPG",10172,"grid.418028.7","Abteilung Grenzflächenwissenschaft"
"Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI)","Fritz Haber Institute of the Max Planck Society (FHI)","www.fhi-berlin.mpg.de","MPG",10172,"grid.418028.7","Abteilung Molekülphysik"
"Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI)","Fritz Haber Institute of the Max Planck Society (FHI)","www.fhi-berlin.mpg.de","MPG",10172,"grid.418028.7","Abteilung Physikalische Chemie"
"Fritz-Haber-Institut der Max-Planck-Gesellschaft (FHI)","Fritz Haber Institute of the Max Planck Society (FHI)","www.fhi-berlin.mpg.de","MPG",10172,"grid.418028.7","Abteilung Theorie"
"Frobenius-Institut","Frobenius Institute","www.frobenius-institut.de/","Landesforschung",10212,"grid.462237.6",
"Fränkisches Freilandmuseum","Franconian Open-air Museum 'Fränkisches Freilandmuseum'","www.freilandmuseum.de","Sonst. Forschg",30826,,
"Fzmb GmbH - Forschungszentrum für Medizintechnik und Biotechnologie","fzmb GmbH - Research Centre for Medical Technology and Biotechnology","www.fzmb.de","Sonst. Forschg",17855173,,
"Führungsakademie der Bundeswehr","Military Leadership Academy of the German Federal Armed Forces (FüAkBw)","www.fueakbw.de/index.php/de/","Sonst. Forschg",16340071,,
